,id,date,store_nbr,item_nbr,unit_sales,onpromotion
121059950,121059950,2017-07-04,39,2002043,3.0,False
8055010,8055010,2013-07-08,48,870546,19.0,
93176805,93176805,2016-10-07,31,2011399,1.0,False
68461254,68461254,2016-01-23,15,1463783,3.0,False
5743762,5743762,2013-05-18,25,673306,2.0,
16330394,16330394,2014-01-02,4,671062,4.0,
51645826,51645826,2015-07-17,49,968937,13.0,False
16137379,16137379,2013-12-28,24,913364,20.0,
101409802,101409802,2016-12-29,25,1660191,18.0,False
104666464,104666464,2017-01-30,27,1167545,1.0,False
21217884,21217884,2014-03-25,8,1235251,2.0,
72232614,72232614,2016-03-03,10,428054,3.0,False
19195416,19195416,2014-02-19,36,314570,5.0,
123338642,123338642,2017-07-26,24,1393047,1.0,False
93136633,93136633,2016-10-07,6,305341,6.0,False
117323570,117323570,2017-05-30,31,1166474,2.0,False
8239825,8239825,2013-07-13,8,365264,6.0,
125420017,125420017,2017-08-15,13,2027252,1.0,True
66554203,66554203,2016-01-02,50,507958,5.707,False
2409653,2409653,2013-03-01,47,584027,4.399,
4246826,4246826,2013-04-13,46,619969,25.0,
8161553,8161553,2013-07-11,17,583977,5.706,
112169633,112169633,2017-04-11,51,838400,9.0,False
91394597,91394597,2016-09-18,50,1473406,18.0,False
1977367,1977367,2013-02-19,23,305345,1.0,
70675185,70675185,2016-02-15,40,1230430,1.0,False
115347265,115347265,2017-05-11,52,1239880,7.732,False
34261781,34261781,2014-11-01,12,771156,4.0,False
124559135,124559135,2017-08-06,49,1956062,1.0,False
109978895,109978895,2017-03-22,2,819209,6.292,False
65821728,65821728,2015-12-24,22,1394349,1.0,False
1878405,1878405,2013-02-17,2,205486,4.0,
49325242,49325242,2015-06-19,3,1146803,13.0,False
3157070,3157070,2013-03-19,24,409904,2.0,
464768,464768,2013-01-13,27,312324,3.0,
87945325,87945325,2016-08-14,1,2026444,2.0,False
117989905,117989905,2017-06-05,36,1464091,2.0,False
88687790,88687790,2016-08-21,41,1456912,1.0,False
74980746,74980746,2016-04-01,9,119193,1.0,True
48640221,48640221,2015-06-10,15,1741423,6.0,False
46462382,46462382,2015-05-10,50,847894,9.0,False
101538714,101538714,2016-12-30,37,890372,1.0,False
74113180,74113180,2016-03-22,49,2026631,5.0,False
2049186,2049186,2013-02-21,7,949299,1.0,
120351243,120351243,2017-06-28,7,1160873,4.0,False
8880415,8880415,2013-07-27,34,324206,1.0,
87709158,87709158,2016-08-11,33,1247036,2.0,False
120095326,120095326,2017-06-25,39,1473401,1.68,False
55917838,55917838,2015-09-06,50,740728,46.0,False
62874988,62874988,2015-11-23,8,1047679,291.0,False
76060362,76060362,2016-04-12,9,1239797,3.0,False
78961590,78961590,2016-05-12,24,1943792,11.0,False
32598975,32598975,2014-10-08,17,1463610,5.0,False
99372845,99372845,2016-12-09,12,1324182,1.0,False
114787296,114787296,2017-05-06,38,262358,3.0,False
116197942,116197942,2017-05-20,2,1993077,3.0,False
105931661,105931661,2017-02-11,27,583795,4.68,False
13911785,13911785,2013-11-13,18,1094238,3.0,
64060187,64060187,2015-12-05,49,1503855,143.563,False
113215511,113215511,2017-04-22,4,1977997,5.0,False
41835352,41835352,2015-02-25,39,127547,4.0,False
107753153,107753153,2017-02-28,51,890215,18.0,False
15929352,15929352,2013-12-23,24,559044,3.0,
85628629,85628629,2016-07-21,12,881701,5.0,False
74907916,74907916,2016-03-31,23,414750,8.0,False
85815932,85815932,2016-07-23,12,1410764,1.0,False
89290505,89290505,2016-08-28,7,671055,7.0,True
51718170,51718170,2015-07-18,44,404442,10.0,False
30184714,30184714,2014-09-03,45,671039,16.0,False
59398614,59398614,2015-10-16,24,1150954,2.0,False
25995242,25995242,2014-06-26,34,1065599,6.336,True
33684305,33684305,2014-10-23,51,312324,10.0,False
78642610,78642610,2016-05-09,3,129296,3.0,False
101160113,101160113,2016-12-27,5,260669,1.0,False
84677194,84677194,2016-07-11,14,1457342,1.0,False
85609848,85609848,2016-07-21,2,1322479,5.0,False
4836154,4836154,2013-04-27,39,215352,76.0,
117778286,117778286,2017-06-03,43,1456917,1.0,False
25054076,25054076,2014-06-08,7,265672,1.0,False
60876490,60876490,2015-11-01,33,1501581,3.0,False
33355492,33355492,2014-10-19,8,838406,19.0,False
29565888,29565888,2014-08-24,7,1239740,2.0,False
83411353,83411353,2016-06-28,15,105576,8.0,False
65963311,65963311,2015-12-26,46,1463865,2.0,False
20556254,20556254,2014-03-14,51,1584574,4.0,
41258569,41258569,2015-02-16,7,813769,3.0,False
103004310,103004310,2017-01-14,28,1149579,10.0,False
88971600,88971600,2016-08-24,42,911989,5.0,False
49082334,49082334,2015-06-15,50,949510,4.0,False
53425532,53425532,2015-08-08,28,1160796,3.0,False
98310121,98310121,2016-11-28,49,1950029,42.0,False
62168086,62168086,2015-11-15,29,788172,1.0,False
7637060,7637060,2013-06-29,45,913364,50.0,
14280795,14280795,2013-11-20,50,740729,16.0,
81902089,81902089,2016-06-12,15,872309,1.0,False
119195900,119195900,2017-06-17,10,812735,5.0,False
13014480,13014480,2013-10-25,34,1160872,14.0,
12805397,12805397,2013-10-20,49,1114924,2.0,
92184029,92184029,2016-09-27,14,514172,1.0,False
31389888,31389888,2014-09-21,6,1239883,10.833,False
73306474,73306474,2016-03-14,22,830749,3.0,False
80410201,80410201,2016-05-27,38,2010428,3.0,False
57321145,57321145,2015-09-23,17,1354711,13.0,False
1492161,1492161,2013-02-07,35,843585,5.0,
36041881,36041881,2014-11-26,25,594045,2.0,False
57987657,57987657,2015-10-01,6,262358,10.0,False
15048241,15048241,2013-12-06,17,457928,45.289,
20441699,20441699,2014-03-13,6,1047753,4.0,
118090959,118090959,2017-06-06,34,417763,6.0,False
58181712,58181712,2015-10-03,8,1457251,9.0,False
56762696,56762696,2015-09-16,46,1037845,11.0,False
39773055,39773055,2015-01-22,4,305227,5.0,False
32207669,32207669,2014-10-02,48,692531,7.0,False
60082533,60082533,2015-10-23,49,1342009,10.0,False
